artist_lower,album_lower,Spotify Album ID
arch revenant,sea runs red,1q22RopLQwYJ5CLgEyabCZ
bryttania,dr. metal,7CVnydGAoTTwMfdaJAPuMQ
matamati,golden nihilo,0Q5tk8B4eFHit4CeIgM028
glossa,blood moon,2ct2vkI9lLMLhgU7XkymAl
the lumbar endeavor,mahātattva,0QTi668yf480p4wk2AO5iU
anti-clutch,blood to stone,4P1OtNir0YwiPnVCtpY53z
lethe,dabbat,6fyntlNH9WkzGlYqGz9taN
udåd,avgudsdyrker,6tDuw858yx9WrkLp36FNCR
numento,the solipsist,39m0KIIXV1SNwmxSH2nkaD
naysayer,quietus,3OuQ2wiEIJeg2w4nfZ4T46
slow goat,common enemy - ep,1kZJQAUeWMFUmtnmlpbab0
age of darkness,bite the frost,2ocrPOX7r8iohBwabkN57l
coma,reflejo de ignorancia,2fkQWpdkOmO41RA2bykLgD
damage,ritual sacrifice,4WxaeU4zg8BfcmLgkNy5B2
minds in solitude,ghost in my mansion,2zuEcKef3j8PbUbiDgRzU1
ubiquity,tmpl,6t0Ft6J07C3DhXQKtKZWXL
lightless life,xii menses abeamus mortuis,2lSqXS0dMVsgJjfGvF3xzf
ende.,hymns of the oceanic abyss,1hnKGPlIVOGnRewElU5cBU
raiden,two swords,3W0cw5repFv9ZBHniA9KZ2
misaligned,"bloodlines, shorelines",0M6AlYot3FGe863S9TOqV6
rain of fire,four demons,7AsbWdvi78WwC9S47xSTOI
forget the sun,nemesis,74pm3QhmFYWk4r9sVDONJd
behind of sorrow,evil town,075QDhfzvEKSB9NBxWicJQ
decorpsetated,cerebral disembarkment,4jmY5gJpV3JfT5ytoZykzU
dynamyth,immersive world of chaos,3hbRWHGUrxb5gwLufExGd1
reagan ralph,escape (reduex),10ZE6rw0R4Rk6tLWOFOvrN
ministry,hopiumforthemasses,04Z322o7T5mwSnFVtUGAaV
sentry,sentry,12Viz57k0FDYAaISvGvJYN
angmodnes,rot of the soul,6GhzrsrTMEl7Wl0wvLaEcD
deviation,lair of suffering,1orTejSLfBIy5ofJm7cpIj
vorus,desolate eternities,3og4Ee7NK4DxHAG7d8taIn
alfa eridano akhernar,into the path of the gods,5MnT7gWCYVwGoyo5TGx8iV
cranial bifurcation,junkie of necrosadism (den of darkness and despair...),4bf34xMKrrERM7DDClctln
semirotted,barrage of brutality,25YeAkCqPF4wwT9D4ng2ps
eversio,the ruler of nothing,2tsZNCmkKnTbmKWgXggsYP
meet the maker,ganishka,6Nv47Ij5GsMReDuZHg4r6S
nadir,standing at the cosmic horizon,2XMIQMBgzhaof4DnwkXggj
misotheist,vessels by which the devil is made flesh,4zCfrEUkDqlMkzHNzAzsvS
ankor,venom,7qExbX4iZc4EsEB3dqkZHn
pelican,adrift / tending the embers,2roy6Ieu86B633gN8UgWxE
world eater,elysia,5jGn8Om7ekU3ax6BG1FZRb
гран-куражъ,легенды мира из огня,79TGgb2Bc6k920edJn8ZpU
botijo,#damelikemierda,6ZSxTsSjbtyZtPl94B0RSP
kiuas,samooja: pyhiinvaellus,53Lr1Q630w16WxSeLJKa3D
dialith,shadowdancer,6Uu8mZfpghTWQYZc8lcqps
koma,una ligera mejoría antes de la muerte,5yulvWpru33c8SXtahPC7y
skull servant,summon sorceress,0bCIAVWaRdMpHTIiz7gzPv
hands of goro,hands of goro,1008mO9lAeVEWlelCBPbC9
blister,diabolical slaughter of mankind,4y9BrxYQNj3jCMzVIyvkVi
screech calamity,pray the wick burns,2KrOrmZ7h6jodp2JBLIahn
mokoma,haluamanilainen,0DxhWP6l9a0vwFOiqVPAWI
forward to eden,iii / iv,3WNBtHJXQvgDj2QNSmxZfv
doro,conqueress – extended,6TgJ8rru2Hn3vlRLS5AWK2
chronic thirst,völlgas,4kwG8GTFGkArZ2uw1nhZUT
justicar,outbound flight,0b7i0EIXzhxCjQKtpIzjli
vespertine,desolate soil,4c1WhhtnMrMypsgW99asPo
the ziggurat,ia,3qLqFImpvFxPp5Lrnt5kOW
abject mentor,bajo la sombra del tormento,3EOg8iV9DYJktY7yFxu2Fe
labyrinthus stellarum,from the nothingness,5BGEK8anBzqmQyP5lLcTQh
tierra vacía,rumble,3LlDgNHcfTwkEE2lCJ0V5u
clarion void,failure in repetition,18l2uRG4zaOHlAFMWENNdA
iarmhairt,demo mmxxiii,50J7WxCnQ8dl2YEVkoW1H7
ancient surgeon,ancient surgeon ep,7qXlx1VGhxVOqU04S9f3lW
mjød,прах твоего бытия,3tPAAEFB7wVOiASj94CvTa
millhaven,dualism,2VyyAZkEWJOLNcxuccDAP7
wolfpact,alpha wolf,4v1uAStaTvq5bRohg1U72k
liam morrison,sworn to the black,1w7VHwPXwHLEPzTRmMIQeS
disarmageddon,no liberty,1c9ZsKFdPjqdMPrUReqwcI
dreams of gray,a beginning,2NUCBSYns6zhXbkr6vBYq0
unblessed domain,undead sessions,7vEcVpAbAbM2JURw9IZlpd
the architect of nightmares,in the eyes of anubis,0vRvwOBW7apCB9pZlFaSv4
unholy obscurity,cosmic winter rite,3c4TNKbB5dpCkCi1wwtOC8
fugit,sonder,5jaDFaeajhqVM3an3NvF5k
avagddu,coedwig rhewedig,0xMI0XXeP9zG4CGgnl4Ko8
maesün,remember to die,3QMWllGC28zB4WjyBejUso
havamal,the storm king,119RbrOHLYst3nCOW87eWa
dagor sorhdeam,remnants,4aaJPmfrBpJNFRyLwLUHRn
noctu,super illius specula,2r3FgAZ7o7PY6XS7zkbfTA
fleshmangled,promo 2024,1AXkxFAbJkAhOP94cOYT5K
crimson sun,sailing home,47e7lqKeO8AXUemQ8ykclu
cogitations,relinquished,4mxKVENTB9RkayO61DTfDq
hexsiren,aggressive infected,3cGOQ9drVWOTa1dIND0GCS
molten,prophets of greed,00p2SgHEHU0J1ZVJlcZzNh
slug gore,the deadly spawn,3K1GjTr8WeRymHQc0gINp5
eternal,torture chapel,6qGpeUP0UXbR3dxYS6TcnY
ice chemicals,the pyre,2QAnv9NVPVLG0tHaIpabMp
glyph,"where he wandered, now he lies",1ZGmewQYN8Zy3WCSJVT2vr
void sinker,the watcher,1cYhQpWf6wgrhjxWQFCbID
unholyscent,endless torment,1BjMGwFTefzm7iy42RAeAo
cemetery flood,mass grave displacement,50JDzQpyKfOcZI31d9J3Zc
triacs,hangman,6hXWvqtGBBoBO2fgFDEEW6
treazon,on fire,5aFTKO9G880TS3siAwnZ7W
parabellum,the iron curtain,3caQ1pRtKV4XH1T3WfsxzC
erythrite throne,bleeding dark forest mysticism upon the ivory crown,7cTxV7i0Bkyps69zAgpTh4
spider kickers,as the blood descends,17QN4K5qYTiigRkUFnl0YG
deer creek,the hiraeth pit,3AlcI503FsGhxXzCIDj835
scarlet bullet,viacruxis,2WGBfsS8b2hXbIbdETy66l
deception (nor),be headed on your way,5tiacL3tGUrEJVABtEE5uP
through void,demo 2024,35hzOVlyFedmmAUKcHkGku
self loather,limbo,6XgDbnVBwrzv0ZDwNumCcb
voids legion,together as one,764JktFcaB5oFfN0m553Zs
xeria,contra las estrellas,1uMFRUHeocZCmvJrGikbZo
the hazytones,disease,3tIH09WCsAVQuwdjDfTXOB
mathilde,32 décembre,65IoRrL0td8ZQCUkE7Wiw3
vile revelation,cast from eden,5bMtCU5nDiIc9ENpEyFni1
scrotal erosion,smells like something that died a while ago,6eZryIS4J0RampLXYBgcqX
vantage point,power of love (instrumental),2bx1a5kh3VVq2QS3jc0s0I
crippled fingers,one in a million,2nv78uE8mb82cXZRKwydo5
call ov the void,a peaceful surrender,1hG6wDDcVB0SZ5kbNPsvb9
shiili,demigod,0wtOFPtPvCozpY49iDW7QX
epileptica,reign of enticement,5PzAKQiQespAiCiehzfys9
sarasin,soul shaker,7d5OnzWOTYVo0gBMZq3UKg
ectospire,afterlife brutality,1fh6ib8nXClAO7QfmpPgqC
nachtkrabb,geistermess,1ofkKM61BtZyaEinAJ2H9m
paranoia church,his private shock machine,4Ab6vgngEs4yMejXLpHHhd
grandfather nebulous,the voices,7Eyv38PET7ZaUXijb4hCq3
kaagorah,kaagorah,6hXLQW6uLzbOeBt34Grr66
neurologic pathology,freedom and pain,3EbdkF6xg0kOGWAMybW8Bp
phyllomedusa,my 9th strangulation this year,0rKBWH33WXKSTl8cYcEbiX
infinite corridor,dreamwalker,7dW6ov50Y6VibsDOIo1i1G
charlie parra del riego,tiempo,3vgWGsNxDnFTGzhUUI3T8a
sacral forest,forest of shadows,2gX6DyHBKBZoGqVoYtX9ts
ad nihil,... они идут с восходом луны,71118zxRQNxbE8gPnxebh9
knurd,getting to know the ghosts,2ofn55pjYvgTHOHU85REGY
eyrem,108,3oV0SHDgy25yFW9FRJNCFx
the moor,this river spoke,5qooPeZpd42HoUgDekwVo6
death island,mountains of ruin,49niYOikuw60pA8EFjpS34
crimson blade,indeterminatus,7EFgSpO4cz5daNxVCVMj1B
caleb phillips,tales of a forgotten land,2saZtV4fxapwEpv5JBKaau
cursed bloodlines,"blood, bath and beyond",4ELVipd3gdmYqXgzlNK1NZ
just heroes,horsepower,6KzwtJKcYzCCKL0i1RgtpB
snöwy,ascent,3HkkAnptDH7wPrqb1Eg6WY
altamira a.d.,starcrossed,1FVz2U0LRQgrkmFE0jgy8C
laccolith,staredown,4Lrq6NjbUuFIpBftV0VCGx
primal,end times (spanish version),1us8QZqKArVTVaebXh4ExT
soulline,look at the stars,0Ac471222sCyXMwxdPnR1B
psychopathic warmonger,we shall conquer...,5KmpgETM9eS5GJWGOgGMeW
questing beast,beneath red leaves,7tGJ9lYhvQZi3APY4E9F7N
perpetual paradox,altar of the lie,2JQ5zp85UJRTVAfuGvjx2T
bound and quartered,command to sacrifice,0438GcMxEL2Mi3qVQaBVpA
verletzen,the shadowkeep,4lF4Eldyd7n368OA7cfAA9
acid mammoth,atomic shaman,3fzNh3HBBSvYF5FL326iEN
julian x's gunvolt,kaiju -ópera heavy metal-,44WV0RUut8yTrigX6Bq5RM
one third of the angels,come mother,3NCgvJYnIsiactKlTvB0lp
asomvel,stare at death & spit,2rMEXkw0DNDocEcPcCZNbT
lesson in violence,war against hypocrisy,0B6vHch61871SSfXx2zzvg
premethius,dessert (circle of suicide),62gQMEIlfb5xYJJnRO5gZN
corbian,momentum,3IOJ55J1yAPFbRDOzRGi7M
heidon,vermin palace,4LooeRpHh6OCnnAn71CmAJ
shkerebertb,івасик телесик і змії-канібали,2h3G4tbH3nTnp6jnb20C4k
narthax,dark ages,3HbSj0GKOFhnaTQcdhchga
madzilla lv,a deadly threat,6aibUlLeJDZPmpslv8F0OW
akloleh,merkoveh,4CYvdVRKgnuB2ojuqGSUdA
guantanamo party program,guantanamo party program / wieże fabryk - split,3nicJV6byDm2VqJ26ksqHM
hudič,when the stars align,3SN5IqfewvHWQvr4k1m7lx
ascend from darkness,hell inflicted,7hIv51ds5Dhm62hqAlRahT
frontline despair,guns a blazing,5TLcPLAT63YyRY9rewUR1K
uma,the burning sphere,6v9DCWMcdP30yXnAkjtFNe
doña calavera,convertirme en nahual,0wE9MlEYU5iHu1aHAGxBZj
apologize for chaos,noise & fury,1MFwgEG8pdnodKfsyjcJex
somnent,"doom heart fest v 2023 (live in milan, italy)",567sCxm9ZJHBR5fknZA9Jh
stefan petanovski,nether,5aOiYrMFj36mRKEAUnEe02
lunar eclipse,куда приводят мечты,06hfTaWXO7BVrothouphCh
on cvintar,dream victim,2DmC8wt3sxDC4TPeFxYU3F
vatermord,anfänge: das licht am ende des tunnels,6dL0drzmfzSu9gIcW68uOg
projekt krank,alter mann,3he3hTnKVoKvGq6azYPQXe
dead head,caverns of fate,30ymnIJD1IIYnqRkJ83XPG
the usurper,dead and gone,28CdnALNVEQci8X6kNymBr
mir zur feier,ein jeder engel,73Ig31cPM9ea4EoAAhSiNE
tehraia,a lie for the broken,0P6flEnTjQnej2PkJ895fR
paratomb,nocturnal spirit rituals,5BcJoEJj7w4MG6XEbanELd
артемизия,монстр,25fK19jSvP4L7Ilgi4jvCq
nephilim,the end days,4hwYbvKbOBE3zWfMcReGHi
vixenta,faint whispers,2bDTYK5LoEzUhRcrRo81uw
last step,dark dreams in the forest,2x3p3P8hYoJ22IvDhXTOBL
daemon,eternal sorrow,4yFhgcxkAYKjtrYcJ2bhyB
mortal dezire,knowledge is poison,6ibG397FTPY579AJ1or5Eg
jackstag,castle darkmoor,0zxlUlSjC9VW8iH65dowoj
drowned,que a forca esteja com você,1bDAOAPSN52fowbsQOyx1J
dbf driven by fire,rage & fury,7beiuGaNJZOdYwCQ4DhE0h
untethered,siechen,37VyXGJu8jIh3iOfvHMgjN
patriarchs in black,god of thunder,0kHHlO0i6c5IcPkrJvJhZe
disreality,this reality,5zXWqmY6E7vRwEMG6Pg2fy
vartroy,building an idiocracy,22kVqa7gLEbo6IeNZKt8aO
bellwethr,solitude,2f9RVAhlhaDXCcVp4k7NtV
saintpeeler,hell is here,3DtLcUcs9QI1L3lmbFTFDh
under exile,"as above, so below",0JgBDeXTeg1rcz86TTdTDd
oxygen,a new dawn,03Yfd8dmLkceBcX9F7M46D
goatsmoker,waiting for our death to come,1AgXCY5JEv2NPxkBMEJpIv
sons of coherence,into black,47PVeOy5yS5pYpeV4L3SYE
royal altar,metal,2Gsep4tkk49FEuPt1ZDQnj
finrir,viking assault,50vBqBkY6AyzJXfsPzkrJn
mannekin,for him,39kxFxIH8iWXqdIn2yEr0N
decrepit decapitation of a man once lost in the forest of fate,bring me back to hell,2mEgCoaG7xiWTzGx6aYc39
valemon,tachiai,144X9DuLIcNKd7bIMw80Nu
miasmatic,abysmal tales,5b6GIQ0iBBEfCXvM3AaKKz
orion's sword,tma-006,4zxQ54ck0SCmltv0wLf7WA
zeke sky,from serpent to scepter,3QtvICW4reyo6amMS0kDcm
children of metal,ascension to chaos,7sqYZqvPmsKU60DEFXPuMS
kalte sonne,laniakea communique,5Gm5EYT9ix9HeamoLnGY5N
beyond the portal,plan 9 for planet 9,2fjqVjHVtUDn1srwEq2a2F
terminal violence,into the pit,2ITIYVQEFRS2DsJEyhkO3F
burned feelings,winter melancholy,0akezdIMSiqnVE9074jWpf
vault hill,break the silence,5Pz7Z8hhPxOQtVRaIPwD2W
aequorea,voices of the fog,0saRE4z69Ikha9VH92TEc1
sibiir,placid waters,1fD93iQMl0dRJwk22ws0lT
summoner's circle,irreverence of the cross,2oJ9Nh6U4LST7gdvTaO3Pj
ildganger,dans om tomhedens mund,4d1KwPlEFiMLwo4YPSrWyw
mors vitaque,another path,0I9gewJOWw0Oc4HdW1Gwux
coldworld,wolves and sheep,7zSiu3Yt4z9GPyTPySPnX2
markgraf,hohenbaden,45FiV9NCt7R4OnMz2cFz5T
molten,scorched,5VtQqFtUMQVNVB4dhlYkho
pvrs,solstice,375zMrQMrynZv4iUzA5oDc
vanta,kollapsar,3jlcVdLY8mKePY5miTAhaH
gatecreeper,caught in the treads,5ghkYlQALtSaQDvek8IfPO
rotting christ,"like father, like son",1um5CPg2zB0RxCBXFYZmLY
offret,затмение,3Ml2CP3EzY7M6G6jR48VAG
galvornhathol,h-alpha,4vAKLAnoJdrIHnu9CcQmFA
lost opera,iii,6z466yZXsxtFmuu5IbixDw
selbst,chant of self confrontation,1TAryoguN5egDJBExQWtOv
hideous divinity,against the sovereignty of mankind,3znY0CnRi9z8zfOZHyEPuc
life cycles,portal to the unknown,4xVuZhLmUYaedT1B1MBi8k
immortal sÿnn,let them eat metal,3r4PGbAFFsJIGE3K1xD5PR
war pact,possession,53s7T2fn1f7x8N8vOkRDoa
arguerom,elusive,5suf3YeQjNxGjSwGsxtVvO
sōlborn,ships of wonder,564YZttpv2tqdyqfne0MBH
lepoka,dios está borracho,1yIwLHyKh0BlwUXQaJy6ZH
job for a cowboy,moon healer,2nYVbfF20AiedBTYcswFAW
darkest hour,perpetual terminal,4VNi4KMdhD5OYfsClMJxii
they came from visions,the twilight robes,6g6CEqrQ4NxocQDybUbwVv
decrowned,persona non grata,3VvfLk36l8Y8xUcSu8bn4p
toxikull,under the southern light,2LfTlsxzBLJyJNaMhJ4iBb
austrian death machine,quad brutal,1BDkunzwjb2C5fWWjXgenM
iron curtain,savage dawn,6necMhBXibsqNQukQIM6Vx
cathubodua,interbellum,5fBFRA9Hj0ZKJmzEUoxAD8
coltre,to watch with hands... to touch with eyes,0okRpLHfjCmSNcpKaFMpDb
vincent crowley,anthology of horror,1ABDHazWo4721A4Bxeq2gl
stygian crown,funeral for a king,13Chl1ywOxi98Sb8YGyBUG
atoll,inhuman implants,5L2TXkXpZuDWpA5mRHDKsZ
pyra,those who dwell in the fire,0vs4Xm9GnWL58KviqCaPIn
craneium,point of no return,2RoHfEj9a6ynuaavGqdakl
morta skuld,creation undone,0XqiYp1v2kwRzXhPAddhbA
borknagar,fall,5nK2siMASeGKxTsX9GqY3v
counting hours,the wishing tomb,1Y0TFCRKcrcn5KTLzeys3T
smorrah,welcome to your nightmare,3Hwn7mqK0tmYYJ2y0b9moY
vircolac,veneration,276n7aeLo7J5oHIlOQjs1b
karkosa,esoterrorcult,34hPHAbtBGqBz3nCkAL4Bc
stiriah,portal,2CK7ZqgI9gg6JLfbuTJosp
toby knapp,transmission to purgatory,4djU5XmQcsC74Qhw0ygEKM
anubis,dark paradise,3MZqAwEJ9N4pVloB9g9Ofr
donor,release rarities,7r4LQt36oqggcNKoAAxAIU
desolate tomb,scorned by misery,3nN4s1LlBLEygBEt7FkVSQ
blaze bayley,circle of stone,6QA2T3zzCnCfXTQivCKfJP
skuggor,whispers of ancient spells,5FxeUfSoubJ31iuKhMLFak
traveler,prequel to madness,62GyYSVtTlFIocK0l9beCO
paragon zero,hexikon,4zObRjBTbg3fKpFSZLo5Gk
satra,sand of time,0oe2v0ZnVTUh4exIWBrhF7
hrizg,damnatio memoriae,0peeWdVhBbsFI2CTGH2NKL
hand of kalliach,corryvreckan,3Sv4H5tmRRIlmmW0fy1omL
druadan forest,dismal spells part 2 (the night circus),1ny1qvGej7K0ukmx9iJgZs
keres,homo homini lupus,22jRhH6B5kLe2evPxT7IYm
gods & punks,dinosaur feathers,1Lubl5DsTzWMFfKABRIBRO
fange,perdition,7nyPyPGkGHodtehErY7Au6
autumnblaze,auf zerfetzten schwingen,6yppTDpRz8CHY9wezIfRPq
púca,fullmoon carnage,7MJ0FZOWffNyv3nyzoHe3v
terminal sanity,attest,6RgmBJYVUsKXUKG9luebDQ
hammerhedd,not important,1dqa7B4Cn0ENEL8DK3C729
unburier,nebulous,33TOHO1wfaPwlcTBWEsEQI
valkyria,indómito,7JiEATdHXxQkjjOtE5zAsj
aura ignis,¡ni un paso atrás! (single),4a0au63AswbMUSsQYCOCJt
memoira,cryonic heart,3tH4B8W4hxaB4NWgE5e2Hc
kinoglass,"""se a carapuça servir""",71IziMt9Fa27FFy0t8X0rZ
evolucija,storm,0P0jmTnx4jRlMq1dwBXF9h
kryptos,decimator,2N9ucwWb3oTY2919PpQUcq
vermin fate,total nuclear assault,5lROE1CQ1tly5ShhlaFEjg
he was a god,muckraker,38J1Et6UOOaMm4F41vFz07
chainsword,born triumphant,5wpiAlFQHZE2mGu97scHRB
rifforia,axeorcism,2JVQ8F35EiOwARyfybggLg
anthenora,need,2wpuxn3374gJBMpjdiDJ9O
tarja,dark star,2iPhlcSxljJQ4tdqT7R9yp
mercaptan,social injustice,2QDwicqykr32bH7K06vyXN
sfregio,malmignotta,6YCM7QT9tdPhatwsW6Lrtl
gormoth,t​é​li csillagok k​ö​z​ö​tt,7F8JrgFY6pq8KPvvCnOZBJ
today was yesterday,today was yesterday,4q3Nh1CqeMfUjsbDRjJqtc
monkey3,welcome to the machine,4ePyoRcbljdyQeKWCRVVq0
persher,sleep well,58ZEnlJReipAXWJzLhTmuo
the chronicles of father robin,the songs & tales of airoea - book iii,5IIhkc6aOST7nf5oTFoulZ
kati ran,stone pillars,6pG80BtrqNSo8EISe184zZ
ruissalo amping,ruusupuutarha,7adwyb19qOBTfoGUAaUzTU
north sea echoes,really good terrible things,3xFX4HEsMICRcM78aX2m6H
iron monkey,misanthropizer,2syGZq9M4HH3sJM7GAPNyu
hadron,message from above,5n2LvfFAPxPoZMbkAK0Guf
nuclear tomb,terror labyrinthian,2V2MDkHKFjZeBZU2N3Sxbm
hekseblad,sodden,4mkaOVRlpN9QBG8sXC6QRi
owl,ghosts of summer,0Zz94k6C6cZGIHzxLdMlUr
petit nuage noir,paths of satan and black witchcraft,4WW7kWtb413pqyhMPGkz4g
hariessa,the world undying,6QT6BcMvW4KumhARd3wE1Y
nàire,the age of man,2S3wPb2V2TL8aILxSCcqfP
antichrist siege machine,sisera,1sbqip68GhwAv1Ci7fs45t
maudissez,maudissez,03SYVEFGq8U0ej6c2lUgSL
fetal sewage,vengeful predation,42hQpchnwEWLdeKXDvAN7E
marma,murray mints,4wbTGOm4h5Gv04gO6uQLya
mgmt,loss of life,4dJvBAUQOaaCpRqsECRooa
shaina hayes,kindergarten heart,7HJS2A7JWTfHu4arcFcvmC
the body,orchards of a futile heaven,3SbIaCbHrWBP8aLrJMIt3e
mooneye,come with me and hide,23pr3SrInhrmHAwBZxcJYY
cuntroaches,cuntroaches,0doNex7ghNs3rA72rLJ5IP
emahoy tsege mariam gebru,souvenirs,1lrApbriCFLDx2Cof0lbxx
far out radio systems,inside the horizon,0L5O53SKlTa6FcgJYsZXA2
ghost funk orchestra,a trip to the moon,3zIfzm0zYZDQs1XQvTSHOn
the spy,relapse,3YRGpwvjkU5WXsuKvmeRFu
schubmodul,lost in kelp forest,0miJTBshfHuPaptOqw3HzN
demetrio cecchitelli,unity,13Za2Brn7HtSSRxLB89aW4
yosuke kakegawa,casual now,2TSkVfKPktofQcb6scC3ik
fragment soul,galois paradox,0mTVmbWX70KQac8mqQX5mw
sleepytime gorilla museum,of the last human being,21sPynlIngwnuIOcltyRjv
steve gunn,live in london,2JlUr10OQdZ4swmT4SmhLr
dina summer,hide & seek,0uQ7npPBiw3ZWAToBBCpmb
defying,wadera,5tqVLl0VxrXMdl55BuHMlu
avalon tassonyi,sprigs & brush,4oAXMTvovL9mrF8qztPyTN
amaranthe,the catalyst,0Rfiyvva6juwbWHRApI5Hj
ace frehley,"10,000 volts",0D4zScGtR7jlMUGpJP9pYF
dust bolt,sound & fury,4wnhEvf9xE3fyX89EV9XOT
freedom call,silver romance,51ZX6ajCkyT6KIAU0YL2qr
judas priest,the serpent and the king,53T5pDi25DmqJiQgHdinBq
neck of the woods,skull sized hell,58crThyvRtFUDM8uOQYiaR
primal fear,if looks could kill (rerecorded 2024),43KTHFZRncGV6f6gSN9gaC
amigo the devil,yours until the war is over,3Uf2ioZXjv71usXs8NZZ7M
author & punisher,motomami,0PU8pZ9lLlkuiDi8cnrS7s
the way of the wolf,virulent,3eWt1wmzW1EDEEfe1WXr2T
mosaic,nachtgestalten,2UDiqlEwY8Cyt3e0FFZ9K0
angel massacre,worshipped in vain,0phRpJhUF2ylFdYrRJqGot
inferna,arcana illum negativa,2uruxH2cMccl0clg1CBK3r
beastial piglord,manipulating reality,5u3t1LuRtHXjekiyccKGZn
jotunn,macaria,3Mt9Sa34g0yZfOzJc7ctk4
toadliquor,back in the hole,3tVRoJPfy5LfdVMvJ0g8m9
pthumulhu,tungumál svarthola,6M5ApExZCn560mo8hyQ7y2
lebensangst,im elend daheim,7BXE9nWyyeCmybpSygoBe8
silenzio profondo,terra madre,3zu6TUtVm03I3iDAQv8ucm
northwind saga,the mythical ring,5VSUuA99HZXlcBNM3nLmed
mortifying deformity,coagulated meat truck,2XmsaicEgjj2fzplzer43t
incurable,self-burial,1dWuic5J8G4CofT5mdgP8h
midoran,magical fairy valley,0Azm7d6fWMwrfB9Tunyxvk
ordem suprema dos mantos negros,dominaremos os infernos,1TvR8SMVTTwhDlTfL9AyMi
petit nuage noir,staring into the void,3oEesZl0g4prCo96HTY2Ve
ego depths,prognimous ekk solthi,5EQ4hj0m7g6VFE5gBy9Vfz
gespinst,refugium,1zTAM19AvQyq8iYu9t0uJz
mr. crabman & the seaweeds,vision-spoonbender (remaster),6ecB6YLEmjtRNTSk9AVlsQ
black candle,cloaked in black,486JWX6TvfdGS9eXJV2g9d
phyllomedusa,yield the frost of estivation,1M3DOLGJRwxztsMfu3TjNF
the incantus,wintersmith,18bOsJ4iEMufNSfDGdcBoj
bonestorm,under the sight of time,75csIrvcDVKATUBlOeWTWJ
oppose the sun,return to dusk,17E4842RMh2Bwucq3iDf6w
inquisitors of darkness,in the name of the light,01j7MOYTHrKOesot82BNjx
abaddonsheol,emissary for a mind of dead memories,6QaLlYdqLRFhzFJSgu4zZI
fupa goddess,the ole pretzel fold,38Fy3QAkWT2l0f75OWsxGS
exit,syngdu lengur,55jfvWyyGN1h7ZJBPud92l
necralant,plagueborn,26QhEBrECK0VOysR0rhxWL
santanizm,o tortură filozofică,4E5e1DN79b9SKcFhyZKb6a
atávico horror,el espejo del dolor,4Uwlfgq9VZNelN93MDd9L0
uncharnel,trail of the dead,73Htw853EnDgc0aVS9pE9B
cloud machine,snails at venus,7Fht5b67J3ejiVxcUMnwQx
slaves of the void,children of nephilim,7etMv8ytP9xHDVpVBkhTTT
sentencia mortal,brutal amenaza,6V8bMdU7imqmockt0ZwriD
devoid altar,old wounds,7iB0aG5sFlbVa6k1J3Zwmv
aleppe,across the styx in a paper boat,2CRyxpGYJDqPH7KjzY1xqs
dreven,bonfires in the fields (incineration),7n6IYBfD90y1nqbHbPkCud
baleful descent,surreal nightmarish compulsions,1mprwLrabC2TuIAZWhivCV
southern deimos,urban jungle,5B1zbmriTUpfwR70ox2wk7
hellwolves,malefical animals,0Fzev36IhL3sGCPX7eOBSa
end of eternity,descending of the gruesome lights,0jhmum9rMStPnvj6j8uUJw
rotgod,sonic degeneracy vol. ii: psychotic crescendo,4zQl3CJMRKAeKD6nLn8HIy
woodcult,dendric incantations,4ZISi4PJMohLJrvEQAtk41
vexange,a phobic domain,1VDDhBFJWSQr3cTgb1I87J
twice sliced bread,"scars of woe, scars of divinity",1GPwPvyytNOt1iFnxjHPt7
chainory,baldur the king,4vsPPLYjIwrluwmdg0LLXV
amargor,a les portes de l'infern (volàtils malediccions com amargs estigmes),7ex8Y53lNkwqFbDoKbs7A2
step to freedom,enter the dark waters,6VMib1qzHCPSo8FnY2iFmF
chapel perilous,the tower of silence,3wRRDYjiMjw7qIGSe0QpGY
omnis nihil,the alchemist,4bnVNxTDwKBcrLSclzIN4T
heureka,kurland,72iHgetWVoVijqL9XAcv6j
bartcloni,16 ways to have your throat slit,71nuXFyyldOsajQ8i0wptc
saki,germinans,0Hp7NCv6LrbiG20ldz3pRn
fedô,the evil of the earth...,78GCZXmu3MH2dU4Sabh1Gr
fupa goddess,death follows,0jkS0Mdud5MW9MioP8IDgH
saloma,sirena,3gb5Eok0bc5tmAwHSxcZNm
sharpshooter,fail to be,5FZLI439nuqein9VertPvs
prey for all,prey for all,0BDwZYE6oGdEVjTZ1FMigo
crux ov torment,the links,6GvMltVx7mFTZH97jiBkQF
иван терентьев,helpless,17Un8YqoC7dOMg9BMPk5Gi
am : pm,serpentine,1OKULOUMtVTHByicCCWhz3
tiatirat,valkyrie marg't,3PmbzVeAmlEoMXeDYPxRuV
helveth,eternal flame,23UOlgbIzTferamkJ8kGan
mørk visdom,dethroned the holy empire,4aIKu6Mh5o5CEP68LYAfAH
mørk visdom,"blood rain, over obscure rituals in the gloomy forest",5WLn6RgYEaJOzyvCLv24yV
purification by suffering,kill the wolves,08VLjo0enT7emZtECJMrZY
yoth iria,the wanderer,3UkeuVzsSP7uh4LQZE4wNK
atomic shine,crimson witch,1Er7nOGQoMKIjPAnD16Kjk
eddysss,wicked paradise,0CjnELkVPaTctnjKgy7TAW
theragon,lumina,4UjUAlH1gfGBGkHXQszgSJ
