artist_lower,album_lower,Spotify Album ID
wolves cry at night,the baroness and the demon,3Iw9XpmCZE7axrQdPBxkgo
lost damnation,specter of suffering,2n9uczOTalQF1kvABFm2aD
fait,irreligious,3yJPSikNehElkvNVUWAvhh
lungbuster 420,comatoasted,2Tff5l8PoKH0acrzWavMcf
primary aspect,за секунду до…,7itrJD7gwxVlwTEnZExCq0
christectomy,crucified hand masturbation,1ATDSt6jqvoQh7uE1IPNlN
reverse evolution,is it where?,2j57w67b435mnurOj251J8
masochrist,grimecode: dclxvi,5KhZy2S63fxj3j987qXsvB
sadistic demise,…and pathologist wept,6mT6NhrtDOAoZ2Zp3O7x6H
dusk,dissolve into ash,2DUDWdHvOJqgRo31KJ6TsU
edward de rosa,darkness falls,3HD0ivL2AaXKjk77x3qaLI
second shooter,2nd shot,3ByhpPeqqlXMtCnU95UBL0
trhä,z​ä​ckar / novaj ilan,1xSlL5wV0zVq6p2SkTYfTr
procession,chthonic signals demo,5bWualqCsvYlpfhr2DowOF
sordid reign,demolition,0ifTDcLY37wYt0KcpBhLLY
kattlik,norrtåget,0yKzEFyQCpymJQA4XNtMce
hexbringer,dirty call of rock & roll,0PHwLNzRNgNfQrHKHhHNQv
sickroom,a rapid series of left turns,0osAxIn7qFNtO0uyPaqIOC
dark oath,bronze i (stolen flame),6v9WBHSpIyfetZUluAjdYQ
jules b door,the android,6LdCjDquSpR9sqa4xtIwIe
proagression,con la soga al cuello,7cuDB9kor55j1vyRyj1UgA
ohvrikivi,karidel,12a7fAYMN3BC3Dm7IxIzBD
dispatched,metal,5rpohV5NANsOwyxk9Lyl30
the sleeping sea king,remains,6BicjObbOKWa5niy6oRN6E
keeper of innsmouth,tales of woe,1vvZLcI0rueOIsUVCaeeNM
quantumleaper,string theory,6uNhj3CdBAMPyflK1t1XSD
parallel harmonic,heavy snow,5shFRBCheJ2LaPkNkZSbDF
chapel of disease,shallow nights,19KdSZJ667Fgdr0u3rv4tI
as i die,tudo que ofereço é a destruição,7pqbqcubUY8WgPutO6yJ1W
elementium,the voyage of the dawn treader,5RhANNSDSZL3obqvA2getg
striborg,"as the dark clouds gather, then dissipate",3vaq7vhe9q8luPUJ1ATipE
underworld dreams,25 years,2nBp1Wq998dZn9A7MAE29j
cultum draculesti,the soul made free,0m6oIABfNECzbQ8hsYeM0j
aurora unholy,carol of the bells,32bWYjYQ5UtlNveam6afLi
galactic zombies,king,0aafV9esGLLsEWMBfu2Zux
mariano vergara band,borderline,29h1RjjpYU2lNaqjs5e0ih
bernatchez,dark fiction,61fDqOUCNEJjQEPBgKaFNd
visceral suffering,requiem of death,2wn7zY99IOjNLKiWEhzTWR
suicidal despair,raw torture,44FBR5ePaUgZY9rICQ3bNr
abiosis,tomb of torture,7KXtTalzTUx3iVnfnMQg1v
witness effect,разрушение,6N8EyjQmcKlx2dzE3JCCHa
4377,resist to be defeated,5pywAr1iXan7cwHlzqPjzi
thermite burns,left to rot,6C3e8MUbp6z7WCS5KxjIT8
eddysss,crossroad,1AYwQZuQuTNaQMn5W7nA3I
le coven du carroir,black female,0DkKr1KJEAts2SK7H5oLKv
dáinsleif,techno viking,06ayK7F7yIBOvCVqOhLGKd
super monster party,dance dance revolution (till the death),3BH1jIlsXv7s0D0nHvNg8o
the wright valley trio,bitter altar,6dynfuqWkbbUAgyoTId8ep
warpath,uprising of the oppressed,27NNOv0LrH2isX49eYlVEK
warband,bystander effect ep,5A8MfHLeibNjLQmIvXzp2B
tombweed,graveyard blues,5GcU06MsrMOSlYtFFpgFTG
lagnia,sigil,3QWZZKfx8vNRqOkkPx8TAb
runascent,liquidation,0pLXir4RbvVdlgZl2DWT30
ballista,trans day of violence,1C772Dsim1yMVi9tMYjLNd
saqraruna,apuwan runawan,6wp35evw5oD5WMSCpsKhjg
bleeding forest,betrayers ov god,7FRnrO5ipmWB8sgwdqMZnn
makhlvk,welcome to the dunia lain,6jVxWkxm5409lfmJGKVVOc
evergrim,cryptic nightmare,0Knh2zFaqICkinfQSMCgvk
venusian shadow,neo roma,6FF4C2563EGK69jtn0O4oE
kingbm,warp speed warriors,67sHDZnUKD2D8ya8utVUpD
leos hellscream,кепка,3lqrWT358FecJ9gloMyU1r
reprisal,raging assault,3MneIqwxLKwFLgyunkbcP3
jackstag,deep sea king,2f58928gzFdRyDEW8NOSaZ
negative prayer,violence,4dq0Ews0mpZWioxBLQEvEQ
ursten,mörkrets herre ler,40dvgFjESg17dqe7PcmR0C
gruzja,jesus hitler,7EdCFlALxQChCJVqMUqF6q
mourning dawn,the color of waves,3RNrkD40oWmWctH361KjyE
poison power,monumental,4W9qi46yRyrLK2cAxG0P0d
uncle woe,well,5GQlUlB2FPvBLtGs6uqRAZ
roman loginov,memories,1umzhr0OHOyT77mc0UeXeX
devine defilement,malformed grin,6wjzarrOR3DzD1lQ4i6HOy
dauðaró,ylur,2ijmbmquzqKrd3ArIta7MU
induktri,pain canvas,4SQ3CPIEIB2gUTvxYlwtb5
thornscrown,they are coming to get you,7yGPLuCm3pFfNgfKb9O0k3
el reno renardo,esfinternet,2TL9VlOBN0eQdk870bvGUh
exiler,dominus servorum,2KlrBeh9b7pFbVcCSBfSfM
ocultan,trevas,4w9MvCSep6jRfrWu7kb6GD
eurynome,death of poseidon,166QQs9CXc1eLOIqNj27GX
nova arminius,perish for the earth,6kuVBrc1aG89oGWJA553Bp
after infinity,without you,0YRqLZxGQ1LIPTuSYo16xY
iron front,slam of '87,5CLb2jwmwlpiRNnBS0QIsh
necrotic pestilentia,virulence,0oSRIx4Y9MrR35DLUjkyeS
bry.ght,blight,03hUvLG5BcdkjtjcxG6ee1
insade,gnosis,0eiVZkSnQ7kjBqh92O0sol
obscura qalma,from the apeiron,0341dTkikp8VnLviDtb3hG
nightmare tales,echoes of sorrow,4DZdHGYQcY75kL1u8LybUm
galactikraken,loose cannon,1BVxfZLqqvm4PiVC5xHeto
against thee wickedly,the degenerate era,43uZwfCavhYTnAT6hu4D5N
velkan,el espectro del bosque,1iaLIOPXAUpcFniIJvmBHX
arkham,ecos del destino,5pofzsRA5anPpDkTkY9ebN
druknroll,3.14,5PB4Qe4OhvX89o20NAKokg
anesthesiac,scrudge comp. 1/scrudge dumpster,5aCdwlXRnnVx564YFuzsk5
the great kat,nutcracker shred,4uVkv565LT92iQ7SuurxFw
thorndale,ain't the end of my rope,5F4HESmogaNHx1sVT9ax40
orgullo nativo,cursed metal attack,0S2GMLHe9iR430PDi3eOE8
verminate,devoured,0fvA7fQbwumNZEBYoZ4UWn
asher sligh,macabre macarena,7hChC5FFX7qunFcmdaRsoB
the execration,rexistance,29AoapV3N0b9oKP4Hev1Df
exiled hope,over for you,3ElNK7YMrKxDfdwBl5hqVF
loyalty ends here,deadweight,0AeaGFL0MtfTGdpnqmi9kv
mbp,the great alone,6zH9vPdpt7Ub7cPXCZLN3E
f20,mente umbría,6AwDvU8UJqmVS2nTPMvQFe
avskräde,undergång,5L8kx3nADFabALN0sqzJHj
bull of apis bull of bronze,the fractal ouroboros,0OsUAMcyMindY2brdAtrCQ
atronos,erwachen,3SekGHxuoz6vydJjAk6xUf
absurd,das heer aus dem dunkel,4ryfW8pABdmMOk1WoSdcVk
angr,ii,3GpHrLAjLbwcRnmoKvnFBv
pure,prison of flesh and bone,0U6fNjkw4dkCEREGaXEkTg
derelicted,no answering voice,4HkgsDIZlVyQEcmFPpg8ll
kupalo,two,0AesDr6A3mAtPBwxMkpKFu
my dark secret transcendence,tearnoumenon,1AogbDLfnEKir7xoweZvKY
glass god,ex libris,5NKH2uvN8sxO0IX6gqBGrf
backbone,ominous,47ofZ0TgoG1Y6usJPDHfXM
subnuba,optimal evolution,34jXsa8ypieYXGdlTyFv4k
spectral terror,instinctive destruction,4SzUZixuuXalyOh3O4vZUp
огонь палатина,слепой моряк,57UvxKk6DpvmMqTW1ciauV
beyond the evollution,pale shadow of reality,5HMlsPSwiGYP8dLsWtMBKp
crente,buried yesterday,25QN0X069GeKtLW39C5JGt
tidløshet,descending claw of the dreadful tyranny,1ZEgNpq1Si6GnBYkk1eETR
impressure,darkest day,4JqOrzf7pAxXMWTLbAIX44
mandragore,scars eve,0L6kls9Uh8oVHtgUNg19G3
eramaa,lieskat,0KGfLTGE3RW8vu6LGFAzzT
nothing new in heaven,"live for me, die for me",1K4IEjZ8ka9Gbypsr24udN
yllgen,broken beyond repair,2sZB15NHSPYI06Cz1gFwW6
kalah,"this world factory, pt. 2",4MnRyIY33joCdJqiu2p2en
ferdk,"the fierce battle (from ""final fantasy vi"") [metal version]",5K5ff6oWWOpHi35PLxeoFo
morphyl hate,echoes of drifting fears,2N0d7RTUwupsqbpX56aHXz
morphyl hate,serpentine of unrest chaos,67iKDZ7CT3TtI42xGfjYT1
brutal infection,human pizza,1KCQeRDSKsz6rAfwqUYUQ9
darhew,mãos de martelo,7kSX6mYwyZQidc9bHhxHjS
dark delirium,omen,13EMVD0qPxppeBvzhMw2RM
mir zur feier,nachtwächter,7b71nXahWiuIsIJD3AfAlY
rotten terror,unholy noise of death split,5rw9yU7yXK6yQS3SP3Pjxm
zarochi,silent night,3lglRaEu7qzeMgROwd9yOO
darkness bizarre,parabellum,5O8tJhOaFPomdbdTuyZJxH
arthemore,sinner,3ae2RDhAPh7VmB5A4a0cvA
resistencia,muerto en vida,7lhEgdpaIfJmLn8cPeYzPA
abyssal effigy,3 a.m.,1rKZZwqwUyYNNdIjRZwrSh
the riverbed,confessional,4KgUu7StreNuAuyhRu9RRh
vulvic cistern,come... let's dig,511azp64kpUGRI8gK2pzWn
likbaal,pale og stril med staur som missil!,7fYAJZl1Nz1BYDYrdaPhp8
irbismax,навстречу мечте,3IJpTAfYHhm8MCQMv0ZPCt
star viper,give it up to rock,7AvGCALd0GmLyfZllGrnt0
incantations of cadaver mutilation,loss,7alkIIYdo2QFD7eXVQ108I
nicole,viha,2BC0UJ9P0Mpi8g06pJZMXq
wiking wings,skaði the goddess of winter,3ODUTSX85k3p7Tr94FZUYY
messor falce,making the beast with two backs​​​.​​​.​​​.,6Ewlz0WWWWW3gojo6hZH4z
celestial darkness,the satanic kiss,59pNbmDsJRceTox5Mzkc98
krkn,frostounge (instrumental),0Wy8Thw6GIsKlivlghr7Il
reternity,a spaceman came travelling,6FYtjwpJiS1ADYJuYLukQd
